id,candidate_id,job_id,prospect,status,current_stage_id,source_id,credited_to_id,recruiter_id,coordinator_id,rejection_reason_id,job_post_id,location_address,applied_at,rejected_at,hired_at,last_activity_at,created_at,updated_at
1,100001,222,False,active,554,21,5,5,6,,,"Detroit, MI",2025-10-08T00:00:00Z,,,2025-10-18T00:00:00Z,2025-10-06T09:00:00Z,2025-10-20T00:00:00Z
2,100002,19,False,active,858,17,7,7,2,,,"Fort Wayne, IN",2024-12-08T00:00:00Z,,,2025-03-12T00:00:00Z,2024-12-06T04:00:00Z,2025-04-07T00:00:00Z
3,100003,279,False,rejected,312,28,9,9,10,6.0,,"Fort Wayne, IN",2024-04-19T00:00:00Z,2024-05-31T00:00:00Z,,2024-04-25T00:00:00Z,2024-04-17T07:00:00Z,2024-05-09T00:00:00Z
4,100004,239,False,rejected,373,24,7,7,2,5.0,,"Green Bay, WI",2025-11-02T00:00:00Z,2025-11-14T00:00:00Z,,2025-11-05T00:00:00Z,2025-11-01T05:00:00Z,2025-12-03T00:00:00Z
5,100005,136,False,rejected,399,15,9,9,2,6.0,,"Indianapolis, IN",2025-04-17T00:00:00Z,2025-05-06T00:00:00Z,,2025-08-15T00:00:00Z,2025-04-15T08:00:00Z,2025-08-26T00:00:00Z
6,100006,174,False,active,859,11,5,5,10,,,"Detroit, MI",2024-08-06T00:00:00Z,,,2024-09-02T00:00:00Z,2024-08-04T09:00:00Z,2024-09-04T00:00:00Z
7,100007,302,False,rejected,667,8,7,7,2,3.0,,"Green Bay, WI",2025-12-07T00:00:00Z,2025-12-17T00:00:00Z,,2026-01-19T00:00:00Z,2025-12-06T18:00:00Z,2026-02-04T00:00:00Z
8,100008,256,False,active,733,10,9,9,2,,,"Ann Arbor, MI",2024-11-05T00:00:00Z,,,2024-12-28T00:00:00Z,2024-11-04T13:00:00Z,2025-01-13T00:00:00Z
9,100009,66,False,active,116,29,9,9,10,,,"Ann Arbor, MI",2025-02-09T00:00:00Z,,,2025-02-21T00:00:00Z,2025-02-07T02:00:00Z,2025-02-25T00:00:00Z
10,100010,127,False,active,22,27,5,5,6,,,"Madison, WI",2024-12-02T00:00:00Z,,,2025-03-08T00:00:00Z,2024-12-01T03:00:00Z,2025-04-07T00:00:00Z
11,100011,7,False,rejected,79,7,5,5,10,8.0,,"Fort Wayne, IN",2024-11-12T00:00:00Z,2024-12-10T00:00:00Z,,2024-12-30T00:00:00Z,2024-11-11T01:00:00Z,2025-01-04T00:00:00Z
12,100012,147,False,rejected,770,10,9,9,10,7.0,,"Grand Rapids, MI",2024-03-13T00:00:00Z,2024-03-24T00:00:00Z,,2024-04-23T00:00:00Z,2024-03-12T08:00:00Z,2024-05-03T00:00:00Z
13,100013,312,False,rejected,754,17,1,1,2,2.0,,"Rockford, IL",2024-03-11T00:00:00Z,2024-05-10T00:00:00Z,,2024-04-06T00:00:00Z,2024-03-09T00:00:00Z,2024-04-10T00:00:00Z
14,100014,256,False,hired,128,15,1,1,10,,,"Grand Rapids, MI",2024-02-18T00:00:00Z,,2024-04-16T00:00:00Z,2024-03-17T00:00:00Z,2024-02-17T20:00:00Z,2024-04-13T00:00:00Z
15,100015,123,False,active,661,32,5,5,2,,,"South Bend, IN",2025-12-13T00:00:00Z,,,2026-03-11T00:00:00Z,2025-12-11T11:00:00Z,2026-04-07T00:00:00Z
16,100016,161,False,rejected,1108,2,9,9,6,6.0,,"Peoria, IL",2024-02-15T00:00:00Z,2024-03-08T00:00:00Z,,2024-04-27T00:00:00Z,2024-02-13T01:00:00Z,2024-05-07T00:00:00Z
17,100017,210,False,active,44,4,9,9,2,,,"South Bend, IN",2024-02-22T00:00:00Z,,,2024-04-07T00:00:00Z,2024-02-20T18:00:00Z,2024-04-14T00:00:00Z
18,100018,239,False,hired,116,20,5,5,2,,,"Grand Rapids, MI",2024-08-24T00:00:00Z,,2024-11-14T00:00:00Z,2024-10-21T00:00:00Z,2024-08-22T18:00:00Z,2024-11-16T00:00:00Z
19,100019,17,False,rejected,215,7,7,7,6,6.0,,"Peoria, IL",2024-10-29T00:00:00Z,2024-12-12T00:00:00Z,,2024-12-29T00:00:00Z,2024-10-28T06:00:00Z,2025-01-01T00:00:00Z
20,100020,270,False,active,166,17,5,5,6,,,"Indianapolis, IN",2024-10-10T00:00:00Z,,,2025-01-22T00:00:00Z,2024-10-09T08:00:00Z,2025-02-12T00:00:00Z
21,100021,154,False,rejected,92,32,9,9,10,3.0,,"Detroit, MI",2025-08-09T00:00:00Z,2025-09-14T00:00:00Z,,2025-11-15T00:00:00Z,2025-08-07T06:00:00Z,2025-12-06T00:00:00Z
22,100022,165,False,rejected,174,2,7,7,2,7.0,,"Peoria, IL",2025-08-08T00:00:00Z,2025-08-26T00:00:00Z,,2025-11-16T00:00:00Z,2025-08-07T20:00:00Z,2025-11-28T00:00:00Z
23,100023,123,False,rejected,267,27,5,5,2,5.0,,"Indianapolis, IN",2025-02-28T00:00:00Z,2025-03-28T00:00:00Z,,2025-03-07T00:00:00Z,2025-02-26T01:00:00Z,2025-03-28T00:00:00Z
24,100024,270,False,active,814,20,7,7,6,,,"Grand Rapids, MI",2024-08-18T00:00:00Z,,,2024-10-13T00:00:00Z,2024-08-17T00:00:00Z,2024-11-04T00:00:00Z
25,100025,47,False,rejected,1016,6,5,5,10,5.0,,"Milwaukee, WI",2025-01-27T00:00:00Z,2025-03-10T00:00:00Z,,2025-04-27T00:00:00Z,2025-01-26T20:00:00Z,2025-05-11T00:00:00Z
26,100026,16,False,active,508,14,5,5,2,,,"Madison, WI",2024-04-11T00:00:00Z,,,2024-07-05T00:00:00Z,2024-04-10T00:00:00Z,2024-07-29T00:00:00Z
27,100027,180,False,active,1444,12,9,9,2,,,"Milwaukee, WI",2024-03-05T00:00:00Z,,,2024-06-09T00:00:00Z,2024-03-03T08:00:00Z,2024-06-29T00:00:00Z
28,100028,277,False,hired,189,24,7,7,6,,,"Ann Arbor, MI",2025-09-23T00:00:00Z,,2025-11-29T00:00:00Z,2026-01-09T00:00:00Z,2025-09-22T14:00:00Z,2026-02-02T00:00:00Z
29,100029,299,False,rejected,647,7,5,5,10,3.0,,"Chicago, IL",2024-01-25T00:00:00Z,2024-03-15T00:00:00Z,,2024-03-11T00:00:00Z,2024-01-24T15:00:00Z,2024-03-26T00:00:00Z
30,100030,7,False,rejected,373,27,1,1,6,6.0,,"Peoria, IL",2024-08-27T00:00:00Z,2024-10-02T00:00:00Z,,2024-10-13T00:00:00Z,2024-08-26T07:00:00Z,2024-10-19T00:00:00Z
31,100031,208,False,active,748,22,5,5,6,,,"Detroit, MI",2024-05-09T00:00:00Z,,,2024-06-18T00:00:00Z,2024-05-07T23:00:00Z,2024-07-06T00:00:00Z
32,100032,124,False,active,1240,10,7,7,2,,,"Rockford, IL",2025-10-19T00:00:00Z,,,2025-10-30T00:00:00Z,2025-10-17T23:00:00Z,2025-11-16T00:00:00Z
33,100033,160,False,active,1269,8,9,9,2,,,"Rockford, IL",2025-05-28T00:00:00Z,,,2025-09-01T00:00:00Z,2025-05-26T14:00:00Z,2025-09-22T00:00:00Z
34,100034,319,False,rejected,201,17,1,1,6,8.0,,"Ann Arbor, MI",2024-04-15T00:00:00Z,2024-05-17T00:00:00Z,,2024-06-29T00:00:00Z,2024-04-14T03:00:00Z,2024-07-05T00:00:00Z
35,100035,57,False,rejected,1016,30,5,5,10,8.0,,"Fort Wayne, IN",2024-09-07T00:00:00Z,2024-11-06T00:00:00Z,,2024-10-18T00:00:00Z,2024-09-05T20:00:00Z,2024-11-14T00:00:00Z
36,100036,315,False,active,1523,31,5,5,2,,,"Milwaukee, WI",2025-03-14T00:00:00Z,,,2025-07-08T00:00:00Z,2025-03-13T08:00:00Z,2025-07-21T00:00:00Z
37,100037,272,False,active,406,2,5,5,10,,,"Ann Arbor, MI",2024-09-30T00:00:00Z,,,2024-10-27T00:00:00Z,2024-09-28T15:00:00Z,2024-11-05T00:00:00Z
38,100038,241,False,active,72,15,1,1,10,,,"Detroit, MI",2025-10-19T00:00:00Z,,,2025-11-16T00:00:00Z,2025-10-17T19:00:00Z,2025-11-25T00:00:00Z
39,100039,151,False,active,1369,8,7,7,10,,,"Green Bay, WI",2024-04-16T00:00:00Z,,,2024-06-04T00:00:00Z,2024-04-14T21:00:00Z,2024-07-01T00:00:00Z
40,100040,272,False,hired,1159,6,7,7,2,,,"Chicago, IL",2024-11-21T00:00:00Z,,2024-12-11T00:00:00Z,2025-01-13T00:00:00Z,2024-11-19T00:00:00Z,2025-01-25T00:00:00Z
41,100041,38,False,active,508,16,5,5,6,,,"Peoria, IL",2024-08-12T00:00:00Z,,,2024-09-07T00:00:00Z,2024-08-10T03:00:00Z,2024-09-09T00:00:00Z
42,100042,135,False,active,576,18,1,1,2,,,"Madison, WI",2024-07-13T00:00:00Z,,,2024-09-10T00:00:00Z,2024-07-11T02:00:00Z,2024-09-22T00:00:00Z
43,100043,172,False,active,721,11,7,7,10,,,"Fort Wayne, IN",2024-03-05T00:00:00Z,,,2024-06-17T00:00:00Z,2024-03-03T17:00:00Z,2024-06-23T00:00:00Z
44,100044,262,False,active,122,12,9,9,10,,,"Milwaukee, WI",2025-02-22T00:00:00Z,,,2025-04-18T00:00:00Z,2025-02-21T22:00:00Z,2025-05-18T00:00:00Z
45,100045,26,False,active,720,16,7,7,10,,,"Peoria, IL",2024-11-16T00:00:00Z,,,2025-02-23T00:00:00Z,2024-11-14T09:00:00Z,2025-03-04T00:00:00Z
46,100046,129,False,rejected,611,12,7,7,2,2.0,,"Indianapolis, IN",2025-09-24T00:00:00Z,2025-10-14T00:00:00Z,,2025-12-04T00:00:00Z,2025-09-23T20:00:00Z,2025-12-27T00:00:00Z
47,100047,166,False,rejected,264,6,9,9,2,5.0,,"Ann Arbor, MI",2024-01-09T00:00:00Z,2024-02-23T00:00:00Z,,2024-04-18T00:00:00Z,2024-01-08T22:00:00Z,2024-04-18T00:00:00Z
48,100048,242,False,rejected,666,26,9,9,6,5.0,,"Peoria, IL",2025-05-05T00:00:00Z,2025-06-20T00:00:00Z,,2025-06-30T00:00:00Z,2025-05-04T15:00:00Z,2025-06-30T00:00:00Z
49,100049,160,False,hired,66,8,1,1,2,,,"Indianapolis, IN",2024-02-10T00:00:00Z,,2024-04-07T00:00:00Z,2024-05-22T00:00:00Z,2024-02-09T10:00:00Z,2024-06-03T00:00:00Z
50,100050,28,False,hired,1523,26,9,9,6,,,"Detroit, MI",2024-06-08T00:00:00Z,,2024-08-23T00:00:00Z,2024-08-09T00:00:00Z,2024-06-06T01:00:00Z,2024-08-14T00:00:00Z
51,100051,68,False,active,22,33,7,7,6,,,"Ann Arbor, MI",2025-05-12T00:00:00Z,,,2025-08-19T00:00:00Z,2025-05-10T21:00:00Z,2025-08-31T00:00:00Z
52,100052,299,False,rejected,130,19,1,1,2,6.0,,"Grand Rapids, MI",2024-09-06T00:00:00Z,2024-11-03T00:00:00Z,,2024-09-08T00:00:00Z,2024-09-05T07:00:00Z,2024-09-17T00:00:00Z
53,100053,294,False,converted,60,7,7,7,2,,,"Madison, WI",2024-04-29T00:00:00Z,,,2024-06-16T00:00:00Z,2024-04-27T16:00:00Z,2024-07-08T00:00:00Z
54,100054,170,False,active,1016,5,7,7,6,,,"Chicago, IL",2024-10-11T00:00:00Z,,,2024-11-05T00:00:00Z,2024-10-10T14:00:00Z,2024-11-28T00:00:00Z
55,100055,220,False,hired,399,6,7,7,10,,,"Rockford, IL",2024-01-06T00:00:00Z,,2024-01-18T00:00:00Z,2024-01-16T00:00:00Z,2024-01-04T00:00:00Z,2024-02-13T00:00:00Z
56,100056,269,False,hired,1361,22,7,7,6,,,"Peoria, IL",2025-03-25T00:00:00Z,,2025-05-23T00:00:00Z,2025-07-06T00:00:00Z,2025-03-23T04:00:00Z,2025-07-30T00:00:00Z
57,100057,175,False,active,227,29,7,7,10,,,"Indianapolis, IN",2024-10-19T00:00:00Z,,,2024-12-30T00:00:00Z,2024-10-18T19:00:00Z,2025-01-06T00:00:00Z
58,100058,132,False,active,288,10,1,1,2,,,"Milwaukee, WI",2024-08-11T00:00:00Z,,,2024-08-15T00:00:00Z,2024-08-09T07:00:00Z,2024-08-17T00:00:00Z
59,100059,1,False,rejected,370,26,1,1,10,7.0,,"Ann Arbor, MI",2025-04-20T00:00:00Z,2025-04-27T00:00:00Z,,2025-06-07T00:00:00Z,2025-04-18T16:00:00Z,2025-06-16T00:00:00Z
60,100060,161,False,rejected,1465,22,7,7,10,4.0,,"South Bend, IN",2024-10-21T00:00:00Z,2024-12-19T00:00:00Z,,2024-12-18T00:00:00Z,2024-10-19T13:00:00Z,2024-12-25T00:00:00Z
61,100061,129,False,active,996,12,5,5,10,,,"Grand Rapids, MI",2024-01-27T00:00:00Z,,,2024-02-23T00:00:00Z,2024-01-25T17:00:00Z,2024-03-18T00:00:00Z
62,100062,253,False,rejected,1178,23,5,5,2,3.0,,"Peoria, IL",2024-05-27T00:00:00Z,2024-06-05T00:00:00Z,,2024-05-30T00:00:00Z,2024-05-26T12:00:00Z,2024-06-22T00:00:00Z
63,100063,259,False,active,705,30,5,5,10,,,"Ann Arbor, MI",2024-12-02T00:00:00Z,,,2025-02-18T00:00:00Z,2024-11-30T12:00:00Z,2025-03-14T00:00:00Z
64,100064,1,False,active,1108,20,5,5,6,,,"Milwaukee, WI",2025-04-25T00:00:00Z,,,2025-05-09T00:00:00Z,2025-04-24T22:00:00Z,2025-05-23T00:00:00Z
65,100065,235,False,rejected,371,9,1,1,2,4.0,,"Milwaukee, WI",2024-11-28T00:00:00Z,2025-01-22T00:00:00Z,,2025-01-11T00:00:00Z,2024-11-27T22:00:00Z,2025-01-26T00:00:00Z
66,100066,283,False,rejected,1092,28,9,9,6,1.0,,"Peoria, IL",2025-04-29T00:00:00Z,2025-06-19T00:00:00Z,,2025-05-14T00:00:00Z,2025-04-27T09:00:00Z,2025-05-21T00:00:00Z
67,100067,165,False,rejected,444,22,1,1,6,4.0,,"Madison, WI",2025-10-05T00:00:00Z,2025-10-09T00:00:00Z,,2025-11-12T00:00:00Z,2025-10-03T19:00:00Z,2025-11-26T00:00:00Z
68,100068,162,False,active,805,9,1,1,6,,,"Indianapolis, IN",2024-03-03T00:00:00Z,,,2024-05-04T00:00:00Z,2024-03-02T01:00:00Z,2024-05-10T00:00:00Z
69,100069,157,False,active,1092,19,9,9,6,,,"Ann Arbor, MI",2024-08-03T00:00:00Z,,,2024-10-28T00:00:00Z,2024-08-01T05:00:00Z,2024-11-13T00:00:00Z
70,100070,204,False,active,338,19,1,1,2,,,"Chicago, IL",2024-10-06T00:00:00Z,,,2025-01-29T00:00:00Z,2024-10-04T22:00:00Z,2025-02-18T00:00:00Z
71,100071,182,False,active,1370,21,5,5,10,,,"Madison, WI",2025-09-25T00:00:00Z,,,2025-11-11T00:00:00Z,2025-09-23T05:00:00Z,2025-12-10T00:00:00Z
