cust_id,Segment_Name,Risk_Tier,Customer_Health_Score,Total_Spend,Recency_Days,Frequency_Visits,total_sessions,churn_probability,nps_score,tier_status,points_balance,primary_complaint,enrollment_date
L-10019,Tech Frustrated,Healthy,74.416,683.0,11,26,16,0.2792,7,Base,673,,5/4/2024
L-10034,Tech Frustrated,Healthy,75.918,1132.5,11,30,39,0.2041,7,Base,2125,,2/25/2024
L-10054,Tech Frustrated,Healthy,75.212,1874.5,5,32,27,0.2394,7,Base,854,,1/10/2024
L-10058,Tech Frustrated,Healthy,79.158,843.5,5,29,26,0.0421,7,Base,576,,2/28/2023
L-10100,Loyalty Hoarder,Healthy,79.516,821.5,18,22,22,0.0242,7,Silver,3204,,8/10/2023
L-10112,Tech Frustrated,Healthy,78.92,1123.0,0,25,14,0.054,7,Silver,1352,,5/10/2024
L-10153,Digital Ghost,Watchlist,44.258,985.5,12,29,0,0.2871,7,Silver,343,,11/15/2023
L-10158,Tech Frustrated,Healthy,78.756,1598.0,2,37,15,0.0622,7,Silver,766,,8/18/2023
L-10165,Fading Champion,Healthy,79.372,1288.0,22,28,27,0.0314,7,Silver,2129,,10/16/2023
L-10212,Tech Frustrated,Watchlist,65.30799999999999,985.0,13,28,15,0.7346,3,Base,481,App_Technical_Issue,10/21/2023
L-10250,Loyalty Hoarder,Healthy,78.96,689.0,8,28,17,0.052,7,Gold,3134,,4/14/2023
L-10292,Loyalty Hoarder,Healthy,78.982,1131.0,6,28,14,0.0509,7,Gold,3903,,9/17/2023
L-10315,Fading Champion,Watchlist,64.562,821.5,47,23,23,0.7719,7,Silver,2313,,5/24/2023
L-10344,Loyalty Hoarder,Healthy,78.494,686.5,1,28,15,0.0753,7,Silver,3394,,6/15/2023
L-10353,Price Sensitive,Healthy,74.51,528.5,14,25,16,0.2744999999999999,6,Gold,695,Price_Perception,11/4/2024
L-10359,Standard Active,Watchlist,66.618,992.0,7,30,14,0.6691,7,Silver,1118,,8/5/2024
L-10391,Standard Active,Watchlist,67.638,1749.0,0,40,17,0.6181,7,Base,1210,,6/18/2024
L-10402,Tech Frustrated,Healthy,71.202,401.0,5,28,33,0.4398999999999999,5,Base,963,Price_Perception,4/21/2023
L-10408,Standard Active,Watchlist,67.366,1561.5,7,28,7,0.1817,7,Base,199,,6/6/2024
L-10447,Loyalty Hoarder,Healthy,76.544,412.5,4,33,19,0.1728,7,Base,2838,,4/25/2024
